;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2041;1114
1;bird.pgm;5082;256;256;65536;331;152
2;boat.pgm;38628;512;512;262144;2476;915
3;bridge.pgm;14330;256;256;65536;530;260
4;camera.pgm;10885;256;256;65536;490;178
5;frog.pgm;30237;621;498;309258;1101;524
6;goldhill.pgm;43000;512;512;262144;1882;924
7;house.pgm;9851;256;256;65536;491;194
8;lena.pgm;31643;512;512;262144;1903;981
9;mandrill.pgm;60239;512;512;262144;2848;1251
10;mountain.pgm;46405;640;480;307200;1328;727
11;naturel.pgm;129684;1600;1200;1920000;17368;8331
12;peppers.pgm;34122;512;512;262144;2118;954
13;piscine.pgm;1034825;3072;2304;7077888;84496;42568
14;sat.pgm;249604;1297;1381;1791157;15344;6814
15;washsat.pgm;17186;512;512;262144;190;183
16;zelda.pgm;24674;512;512;262144;1721;1077
