;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2040;1105
1;bird.pgm;5082;256;256;65536;330;149
2;boat.pgm;38628;512;512;262144;2467;921
3;bridge.pgm;14330;256;256;65536;537;252
4;camera.pgm;10885;256;256;65536;494;171
5;frog.pgm;30237;621;498;309258;1107;526
6;goldhill.pgm;43000;512;512;262144;1898;933
7;house.pgm;9851;256;256;65536;490;188
8;lena.pgm;31643;512;512;262144;1911;971
9;mandrill.pgm;60239;512;512;262144;2846;1244
10;mountain.pgm;46405;640;480;307200;1322;709
11;naturel.pgm;129684;1600;1200;1920000;17459;8974
12;peppers.pgm;34122;512;512;262144;2095;961
13;piscine.pgm;1034825;3072;2304;7077888;83981;47621
14;sat.pgm;249604;1297;1381;1791157;15439;7527
15;washingtonDC.pgm;4675640;8218;2700;22188600;284865;233629
16;washsat.pgm;17186;512;512;262144;191;182
17;zelda.pgm;24674;512;512;262144;1725;1083
