;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2057;1111
1;bird.pgm;5082;256;256;65536;331;149
2;boat.pgm;38628;512;512;262144;2469;919
3;bridge.pgm;14330;256;256;65536;533;254
4;camera.pgm;10885;256;256;65536;497;171
5;frog.pgm;30237;621;498;309258;1103;528
6;goldhill.pgm;43000;512;512;262144;1878;927
7;house.pgm;9851;256;256;65536;495;187
8;lena.pgm;31643;512;512;262144;1915;987
9;mandrill.pgm;60239;512;512;262144;2876;1249
10;mountain.pgm;46405;640;480;307200;1324;716
11;naturel.pgm;129684;1600;1200;1920000;17422;9067
12;peppers.pgm;34122;512;512;262144;2115;965
13;piscine.pgm;1034825;3072;2304;7077888;84322;48114
14;sat.pgm;249604;1297;1381;1791157;15504;7467
15;washingtonDC.pgm;4675640;8218;2700;22188600;285847;233674
16;washsat.pgm;17186;512;512;262144;190;186
17;zelda.pgm;24674;512;512;262144;1736;1103
