;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2061;1122
1;bird.pgm;5082;256;256;65536;332;150
2;boat.pgm;38628;512;512;262144;2468;928
3;bridge.pgm;14330;256;256;65536;535;253
4;camera.pgm;10885;256;256;65536;493;171
5;frog.pgm;30237;621;498;309258;1097;525
6;goldhill.pgm;43000;512;512;262144;1885;929
7;house.pgm;9851;256;256;65536;491;190
8;lena.pgm;31643;512;512;262144;1917;985
9;mandrill.pgm;60239;512;512;262144;2861;1254
10;mountain.pgm;46405;640;480;307200;1327;719
11;naturel.pgm;129684;1600;1200;1920000;17504;9061
12;peppers.pgm;34122;512;512;262144;2114;963
13;piscine.pgm;1034825;3072;2304;7077888;84822;47297
14;sat.pgm;249604;1297;1381;1791157;15447;7568
15;washingtonDC.pgm;4675640;8218;2700;22188600;284621;233765
16;washsat.pgm;17186;512;512;262144;193;186
17;zelda.pgm;24674;512;512;262144;1727;1089
