;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2060;1110
1;bird.pgm;5082;256;256;65536;332;151
2;boat.pgm;38628;512;512;262144;2481;928
3;bridge.pgm;14330;256;256;65536;544;253
4;camera.pgm;10885;256;256;65536;493;170
5;frog.pgm;30237;621;498;309258;1105;529
6;goldhill.pgm;43000;512;512;262144;1892;941
7;house.pgm;9851;256;256;65536;511;188
8;lena.pgm;31643;512;512;262144;1920;989
9;mandrill.pgm;60239;512;512;262144;2862;1266
10;mountain.pgm;46405;640;480;307200;1320;721
11;naturel.pgm;129684;1600;1200;1920000;17536;9212
12;peppers.pgm;34122;512;512;262144;2119;979
13;piscine.pgm;1034825;3072;2304;7077888;84670;47716
14;sat.pgm;249604;1297;1381;1791157;15401;7574
15;washingtonDC.pgm;4675640;8218;2700;22188600;284870;232526
16;washsat.pgm;17186;512;512;262144;194;184
17;zelda.pgm;24674;512;512;262144;1729;1085
