;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2062;1121
1;bird.pgm;5082;256;256;65536;330;155
2;boat.pgm;38628;512;512;262144;2502;922
3;bridge.pgm;14330;256;256;65536;539;264
4;camera.pgm;10885;256;256;65536;495;180
5;frog.pgm;30237;621;498;309258;1105;524
6;goldhill.pgm;43000;512;512;262144;1875;930
7;house.pgm;9851;256;256;65536;492;195
8;lena.pgm;31643;512;512;262144;1903;996
9;mandrill.pgm;60239;512;512;262144;2859;1250
10;mountain.pgm;46405;640;480;307200;1323;728
11;naturel.pgm;129684;1600;1200;1920000;17504;8395
12;peppers.pgm;34122;512;512;262144;2094;961
13;piscine.pgm;1034825;3072;2304;7077888;84497;42979
14;sat.pgm;249604;1297;1381;1791157;15464;6882
15;washsat.pgm;17186;512;512;262144;190;186
16;zelda.pgm;24674;512;512;262144;1724;1096
