;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2165;1115
1;bird.pgm;5082;256;256;65536;330;150
2;boat.pgm;38628;512;512;262144;2543;957
3;bridge.pgm;14330;256;256;65536;549;260
4;camera.pgm;10885;256;256;65536;492;176
5;frog.pgm;30237;621;498;309258;1115;521
6;goldhill.pgm;43000;512;512;262144;1874;924
7;house.pgm;9851;256;256;65536;487;191
8;lena.pgm;31643;512;512;262144;1899;971
9;mandrill.pgm;60239;512;512;262144;2869;1252
10;mountain.pgm;46405;640;480;307200;1320;739
11;naturel.pgm;129684;1600;1200;1920000;17393;8410
12;peppers.pgm;34122;512;512;262144;2101;962
13;piscine.pgm;1034825;3072;2304;7077888;84440;42827
14;sat.pgm;249604;1297;1381;1791157;15388;6865
15;washsat.pgm;17186;512;512;262144;190;182
16;zelda.pgm;24674;512;512;262144;1725;1085
