;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2052;1124
1;bird.pgm;5082;256;256;65536;333;152
2;boat.pgm;38628;512;512;262144;2477;919
3;bridge.pgm;14330;256;256;65536;534;263
4;camera.pgm;10885;256;256;65536;493;179
5;frog.pgm;30237;621;498;309258;1110;530
6;goldhill.pgm;43000;512;512;262144;1881;932
7;house.pgm;9851;256;256;65536;494;194
8;lena.pgm;31643;512;512;262144;1917;997
9;mandrill.pgm;60239;512;512;262144;2868;1258
10;mountain.pgm;46405;640;480;307200;1324;737
11;naturel.pgm;129684;1600;1200;1920000;17454;8506
12;peppers.pgm;34122;512;512;262144;2109;963
13;piscine.pgm;1034825;3072;2304;7077888;85274;43411
14;sat.pgm;249604;1297;1381;1791157;15444;6876
15;washsat.pgm;17186;512;512;262144;194;184
16;zelda.pgm;24674;512;512;262144;1731;1083
