;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2049;1109
1;bird.pgm;5082;256;256;65536;329;147
2;boat.pgm;38628;512;512;262144;2473;921
3;bridge.pgm;14330;256;256;65536;532;252
4;camera.pgm;10885;256;256;65536;493;172
5;frog.pgm;30237;621;498;309258;1102;525
6;goldhill.pgm;43000;512;512;262144;1881;934
7;house.pgm;9851;256;256;65536;490;187
8;lena.pgm;31643;512;512;262144;1909;976
9;mandrill.pgm;60239;512;512;262144;2846;1242
10;mountain.pgm;46405;640;480;307200;1318;716
11;naturel.pgm;129684;1600;1200;1920000;17435;8972
12;peppers.pgm;34122;512;512;262144;2112;956
13;piscine.pgm;1034825;3072;2304;7077888;84736;47821
14;sat.pgm;249604;1297;1381;1791157;15399;7507
15;washingtonDC.pgm;4675640;8218;2700;22188600;284870;233502
16;washsat.pgm;17186;512;512;262144;190;184
17;zelda.pgm;24674;512;512;262144;1728;1081
