;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2046;1123
1;bird.pgm;5082;256;256;65536;332;152
2;boat.pgm;38628;512;512;262144;2470;918
3;bridge.pgm;14330;256;256;65536;532;262
4;camera.pgm;10885;256;256;65536;492;181
5;frog.pgm;30237;621;498;309258;1102;528
6;goldhill.pgm;43000;512;512;262144;1880;929
7;house.pgm;9851;256;256;65536;495;191
8;lena.pgm;31643;512;512;262144;1911;978
9;mandrill.pgm;60239;512;512;262144;2848;1252
10;mountain.pgm;46405;640;480;307200;1322;735
11;naturel.pgm;129684;1600;1200;1920000;17418;8386
12;peppers.pgm;34122;512;512;262144;2115;966
13;piscine.pgm;1034825;3072;2304;7077888;84090;42590
14;sat.pgm;249604;1297;1381;1791157;15469;6860
15;washsat.pgm;17186;512;512;262144;193;182
16;zelda.pgm;24674;512;512;262144;1726;1086
