;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2050;1128
1;bird.pgm;5082;256;256;65536;331;151
2;boat.pgm;38628;512;512;262144;2466;913
3;bridge.pgm;14330;256;256;65536;533;264
4;camera.pgm;10885;256;256;65536;496;178
5;frog.pgm;30237;621;498;309258;1102;527
6;goldhill.pgm;43000;512;512;262144;1876;926
7;house.pgm;9851;256;256;65536;492;191
8;lena.pgm;31643;512;512;262144;1913;987
9;mandrill.pgm;60239;512;512;262144;2862;1252
10;mountain.pgm;46405;640;480;307200;1324;725
11;naturel.pgm;129684;1600;1200;1920000;17443;8377
12;peppers.pgm;34122;512;512;262144;2108;967
13;piscine.pgm;1034825;3072;2304;7077888;84137;42637
14;sat.pgm;249604;1297;1381;1791157;15417;6854
15;washsat.pgm;17186;512;512;262144;193;182
16;zelda.pgm;24674;512;512;262144;1723;1089
