;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2044;1117
1;bird.pgm;5082;256;256;65536;331;152
2;boat.pgm;38628;512;512;262144;2475;912
3;bridge.pgm;14330;256;256;65536;532;261
4;camera.pgm;10885;256;256;65536;503;180
5;frog.pgm;30237;621;498;309258;1100;526
6;goldhill.pgm;43000;512;512;262144;1877;928
7;house.pgm;9851;256;256;65536;491;192
8;lena.pgm;31643;512;512;262144;1910;975
9;mandrill.pgm;60239;512;512;262144;2842;1262
10;mountain.pgm;46405;640;480;307200;1324;736
11;naturel.pgm;129684;1600;1200;1920000;17362;8346
12;peppers.pgm;34122;512;512;262144;2119;979
13;piscine.pgm;1034825;3072;2304;7077888;84575;43011
14;sat.pgm;249604;1297;1381;1791157;15374;6858
15;washsat.pgm;17186;512;512;262144;191;182
16;zelda.pgm;24674;512;512;262144;1722;1086
