;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2050;1113
1;bird.pgm;5082;256;256;65536;331;150
2;boat.pgm;38628;512;512;262144;2479;931
3;bridge.pgm;14330;256;256;65536;537;254
4;camera.pgm;10885;256;256;65536;496;170
5;frog.pgm;30237;621;498;309258;1108;529
6;goldhill.pgm;43000;512;512;262144;1888;945
7;house.pgm;9851;256;256;65536;494;190
8;lena.pgm;31643;512;512;262144;1908;990
9;mandrill.pgm;60239;512;512;262144;2864;1249
10;mountain.pgm;46405;640;480;307200;1328;722
11;naturel.pgm;129684;1600;1200;1920000;17482;9030
12;peppers.pgm;34122;512;512;262144;2101;965
13;piscine.pgm;1034825;3072;2304;7077888;84192;48439
14;sat.pgm;249604;1297;1381;1791157;15466;7572
15;washingtonDC.pgm;4675640;8218;2700;22188600;284549;233129
16;washsat.pgm;17186;512;512;262144;191;185
17;zelda.pgm;24674;512;512;262144;1744;1106
