;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2058;1127
1;bird.pgm;5082;256;256;65536;329;150
2;boat.pgm;38628;512;512;262144;2481;927
3;bridge.pgm;14330;256;256;65536;535;254
4;camera.pgm;10885;256;256;65536;494;172
5;frog.pgm;30237;621;498;309258;1104;528
6;goldhill.pgm;43000;512;512;262144;1883;945
7;house.pgm;9851;256;256;65536;494;187
8;lena.pgm;31643;512;512;262144;1920;992
9;mandrill.pgm;60239;512;512;262144;2864;1250
10;mountain.pgm;46405;640;480;307200;1339;714
11;naturel.pgm;129684;1600;1200;1920000;17476;9046
12;peppers.pgm;34122;512;512;262144;2116;976
13;piscine.pgm;1034825;3072;2304;7077888;84290;47975
14;sat.pgm;249604;1297;1381;1791157;15443;7545
15;washingtonDC.pgm;4675640;8218;2700;22188600;284666;233067
16;washsat.pgm;17186;512;512;262144;191;184
17;zelda.pgm;24674;512;512;262144;1739;1101
