;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2062;1133
1;bird.pgm;5082;256;256;65536;329;152
2;boat.pgm;38628;512;512;262144;2511;922
3;bridge.pgm;14330;256;256;65536;537;263
4;camera.pgm;10885;256;256;65536;494;178
5;frog.pgm;30237;621;498;309258;1107;533
6;goldhill.pgm;43000;512;512;262144;1884;938
7;house.pgm;9851;256;256;65536;492;195
8;lena.pgm;31643;512;512;262144;1947;992
9;mandrill.pgm;60239;512;512;262144;2877;1256
10;mountain.pgm;46405;640;480;307200;1320;731
11;naturel.pgm;129684;1600;1200;1920000;17372;8340
12;peppers.pgm;34122;512;512;262144;2108;965
13;piscine.pgm;1034825;3072;2304;7077888;83990;42590
14;sat.pgm;249604;1297;1381;1791157;15377;6859
15;washsat.pgm;17186;512;512;262144;192;185
16;zelda.pgm;24674;512;512;262144;1728;1081
