;image;nnodes;width;height;npixels;runtime_nondiff;runtime_diff
0;barb.pgm;40496;512;512;262144;2057;1123
1;bird.pgm;5082;256;256;65536;331;153
2;boat.pgm;38628;512;512;262144;2479;924
3;bridge.pgm;14330;256;256;65536;535;260
4;camera.pgm;10885;256;256;65536;498;177
5;frog.pgm;30237;621;498;309258;1099;529
6;goldhill.pgm;43000;512;512;262144;1884;939
7;house.pgm;9851;256;256;65536;492;194
8;lena.pgm;31643;512;512;262144;1923;984
9;mandrill.pgm;60239;512;512;262144;2850;1258
10;mountain.pgm;46405;640;480;307200;1325;727
11;naturel.pgm;129684;1600;1200;1920000;17423;8459
12;peppers.pgm;34122;512;512;262144;2126;973
13;piscine.pgm;1034825;3072;2304;7077888;84210;43074
14;sat.pgm;249604;1297;1381;1791157;15475;6872
15;washsat.pgm;17186;512;512;262144;193;184
16;zelda.pgm;24674;512;512;262144;1739;1101
